id;raison_sociale;mobile;mail;latitude;longitude;type;categorie;marque;adresse;code_postale;commune;telephone;internet;tourisme
31307;Small Hanoi;;;43.6068275;1.4424033;restaurant;vietnamese;; ;;;;;
31308;Van Lôc;;;43.6062773;1.4424215;restaurant;vietnamese;; ;;;;;
31309;La Locanda;;;43.6052908;1.44383;restaurant;;; ;;;;;
31310;Les Polissons;;;43.6071241;1.4450382;restaurant;;Restaurant  Bar  Brasserie; ;;;;;
31311;Pizzeria Bambino;;;43.6073076;1.445076;restaurant;pizza;; ;;;;;
31312;La Bohème;;;43.6051187;1.4441016;restaurant;regional;; ;;;33561232418;www.la-boheme-toulouse.com/;
31313;Le Café Parisien;;;43.6077843;1.446089;restaurant;;; ;;;;;
31314;Hinodé;;;43.6064929;1.4473357;restaurant;asian;; ;;;;;
31315;Japoyaki;;;43.6061007;1.4473235;restaurant;japanese;; ;;;;;
31316;Japoyaki;;;43.6062039;1.4475445;restaurant;japanese;; ;;;;;
31317;La Gourmandine;;;43.60586;1.4463023;restaurant;;; ;;;;;
31318;La Perdrix;;;43.6072813;1.446677;restaurant;;; ;;;;;
31319;La Petite Italie;;;43.6063221;1.4475438;restaurant;italian;; ;;;;;
31320;La Villa Tropezienne;;;43.6060985;1.4471341;restaurant;;; ;;;;;
31321;Le Carpaccio;;;43.6074748;1.4464932;restaurant;;; ;;;;;
31322;Le Cornet à Fondue;;;43.6068553;1.4471458;restaurant;cheese;La Fondue de la Plancha; ;;;;;
31323;Pategrain;;;43.6063723;1.447325;restaurant;;; ;;;;;
31324;au petit cornet;;;43.6068858;1.4471067;restaurant;pancake;Creperie - Glacier; ;;;;;
31325;Asia Village;;;43.6081999;1.4468337;restaurant;asian;; ;;;;www.asiavillage.fr;
31326;Chez Jeannot;;;43.6082686;1.4464638;restaurant;seafood;; ;;;;chezjeannot.fr;
31327;La Meunière;;;43.6111842;1.4518064;restaurant;;; ;;;;;
31328;La Piazza PaPa;;;43.6076893;1.4469723;restaurant;italian;; ;;;;www.lapiazzapapa.fr/;
31329;Le Colombier;;;43.6086274;1.4475845;restaurant;;; ;;;;;
31330;Le Toulouse;;;43.6110537;1.4515812;restaurant;pizza;; ;;;;;
31331;Le Winger;;;43.6108308;1.4515864;restaurant;;Restaurant - Brasserie; ;;;;;
31332;Meet The Meat;;;43.6072975;1.4473825;restaurant;french;; ;;;;www.meetthemeat.fr/;
31333;Pasta Pizza & Compagnie;;;43.6110804;1.4520705;restaurant;;; ;;;;;
31334;Petite Marie;;;43.6089603;1.4481635;restaurant;french;; ;;;;;
31335;Quand les moules auront des dents;;;43.6069811;1.447693;restaurant;seafood;; ;;;;www.quandlesmoulesaurontdesdents.fr/;
31336;Sakyraya;;;43.608228;1.4469005;restaurant;japanese;; ;;;;www.sakuraya.fr/;
31337;Yakiniku;;;43.607056;1.4476319;restaurant;japanese;; ;;;;www.yakiniku-toulouse.fr/;
31338;Delhi Spicee...;;;43.6043005;1.4376829;restaurant;indian;; ;;;33582758035;;
31339;Grain de Sésame;;;43.6043156;1.4382151;restaurant;;; ;;;33561227546;;
31340;Solides;;;43.6043962;1.4387149;restaurant;french;; ;;;;www.solides.fr/;
31341;Ô Vestiaire !;;;43.6038703;1.4363285;restaurant;;; ;;;;;
31342;Pizza Marzano;;;43.6041788;1.4427683;restaurant;;; ;;;;www.leparadisdufruit.fr/;
31343;Le Père Léon;;;43.6005821;1.4438999;restaurant;;; ;;;33561217039;pere-leon.com/;
31344;Les Arcades;;;43.6045477;1.4426837;restaurant;;Brasserie; ;;;;brasserie-arcades.com;
31345;Les Ténors;;;43.6040831;1.4427886;restaurant;french;Café - Bar - Brasserie; ;;;;www.lestenors.fr;
31346;Tandoori House;;;43.6022381;1.4434672;restaurant;;; ;;;33561123376;www.tandoorihouse.fr/;
31347;Le Rembrandt;;;43.6029188;1.4439728;restaurant;;; ;;;;www.lerembrandt-tlse.fr/;
31348;L'Astragale;;;43.6009342;1.4406818;restaurant;french;; ;;;33561218557;restaurantlastragale.com/;
31349;La Cantiqe du Quartier;;;43.5988382;1.4454541;restaurant;;; ;;;;;
31350;La Cendrée;;;43.5998656;1.4452018;restaurant;regional;; ;;;;www.lacendree.com/;
31351;Le Grand Patio;;;43.6036763;1.4426685;restaurant;french;; ;;;;;
31352;Le Maharaja;;;43.6016474;1.4408393;restaurant;indian;; ;;;33534305012;www.maharajatoulouse.fr/;
31353;Le Peyrolières;;;43.6000745;1.4410453;restaurant;regional;; ;;;33561234629;www.lepeyrolieres.fr/;
31354;Le Picotin;;;43.5951941;1.4443383;restaurant;french;; ;;;33561524454;www.lepicotin.fr;
31355;Les Frères Fourchettes;;;43.5963363;1.4457291;restaurant;french;; ;;;33581349226;;
31356;Les Jardins de l'Opéra;;;43.6034782;1.4442589;restaurant;;; ;;;;www.lesjardinsdelopera.fr;
31357;Yoshi;;;43.6006276;1.4455006;restaurant;japanese;; ;;;;;
31358;La Table à Jules;;;43.6110035;1.438737;restaurant;french;; ;;;33561218738;;
31359;Boli Cafe;;;43.6034838;1.4421463;restaurant;korean;Restaurant - Café; ;;;;;
31360;Le Semiramis;;;43.6008538;1.4405713;restaurant;lebanese;; ;;;;;
31361;Mille et une Pâtes;;;43.6034627;1.4418778;restaurant;pasta;; ;;;;www.1001-pates.com/;
31362;Raj Mahal;;;43.6003666;1.4407959;restaurant;indian;Curry, tandori et nan; ;;;33561213662;;
31363;L'Embarcadère;;;43.6005249;1.4424009;restaurant;pancake;Crêperie - Saladerie; ;;;;;
31364;Mare e Monti;;;43.6017871;1.4427918;restaurant;italian;; ;;;33561221616;;
31365;Paradise Café;;;43.599633;1.4452403;restaurant;;Lb Brasserie du PARADISE Café - Pizzeria J.C.E.; ;;;;;
31366;;;;43.6028811;1.4421133;restaurant;italian;; ;;;;restaurantlatraviata-toulouse.com/;
31367;Bangkok;;;43.6036113;1.4502836;restaurant;asian;; ;;;;;
31368;Byblos;;;43.6043798;1.4470986;restaurant;;Café - Restaurant - Brasserie; ;;;;;
31369;La Belle Verte;;;43.6029505;1.453813;restaurant;;Restaurant bio - Salon de thé - Traiteur; ;;;33561627342;labellevertebio.com/;
31370;Le Saint-Georges;;;43.6036011;1.4518204;restaurant;grill;Grillades; ;;;;;
31371;;;;43.6074988;1.4396846;restaurant;asian;; ;;;33561622269;;
31372;La Belle Saison;;;43.6018667;1.4440967;restaurant;maroccan;; ;;;33561232687;;
31373;Le Petit Rajasthan;;;43.6024307;1.4438798;restaurant;indian;; ;;;33561237734;;
31374;Le bruit qui court...;;;43.6021368;1.4405752;restaurant;;; ;;;33561236838;www.lebruitquicourt.eu/;
31375;Le Coq Hardi;;;43.6022329;1.4442298;restaurant;french;; ;;;33561216101;www.lecoqhardi-toulouse.com/;
31376;Restaurant Seniors;;;43.6017366;1.4396706;restaurant;;; ;;;;www.toulouse.fr/web/social/seniors-a-toulouse/restaurants-seniors-et-foyers-restaurants;
31377;Zen-Saï;;;43.6017724;1.4402361;restaurant;japanese;Fusion food; ;;;;;
31378;Au Gascon;;;43.6041874;1.4415887;restaurant;french;; ;;;33561216716;www.augascon.fr/;
31379;Benjamin;;;43.6030066;1.4427844;restaurant;french;; ;;;;;
31380;Bombay;;;43.6030981;1.4430604;restaurant;indian;; ;;;;;
31381;Café Lily;;;43.6015141;1.4441712;restaurant;regional;Restaurant - Salon de Thé; ;;;;;
31382;Caminito;;;43.6031014;1.44233;restaurant;argentinian;Empanadas Argentinas; ;;;;;
31383;La Côte de Boeuf;;;43.6029371;1.4427576;restaurant;french;; ;;;;;
31384;La Mare Aux Canards;;;43.6029466;1.4429008;restaurant;french;; ;;;33561238158;www.mare-aux-canards.com/;
31385;La Rajasthani;;;43.6029525;1.4426;restaurant;indian;; ;;;;;
31386;Le Rajasthan;;;43.6030583;1.4431696;restaurant;indian;; ;;;;;
31387;Les Baguettes;;;43.6027525;1.444105;restaurant;chinese;Cuisine Chinoise et Cambodgienne; ;;;33561236380;;
31388;Le Troquet;;;43.6019515;1.4447133;restaurant;;Bar à Viandes; ;;;33561216083;le-troquet-toulouse.fr/;
31389;Lo Specchio;;;43.6013204;1.4451211;restaurant;italian;; ;;;33561381940;www.restaurant-lospecchio-toulouse.fr/;
31390;Mon Canard;;;43.604413;1.4367835;restaurant;regional;; ;;;;www.restaurantmoncanard.com;
31391;The Winter Garden;;;43.6030077;1.4423476;restaurant;french;; ;;;33561214597;thewintergarden.fr/;
31392;Gusto Café;;;43.601538;1.4429106;restaurant;mediterranean;; ;;;;;
31393;Le Monica;;;43.601342;1.441008;restaurant;indian;; ;;;;;
31394;Café Koss;;;43.6020633;1.4481199;restaurant;;Restaurant Tapas; ;;;;;
31395;Crêperie Saint-Georges;;;43.6019159;1.4473292;restaurant;pancake;; ;;;;;
31396;Le Miroir;;;43.6021902;1.4472082;restaurant;;; ;;;;;
31397;Monsieur Georges;;;43.6018581;1.4481201;restaurant;french;; ;;;;www.monsieurgeorges.fr/;
31398;Pizzeria de l'Opéra;;;43.6023816;1.4475065;restaurant;pizza;; ;;;;;
31399;L'oignon vert;;;43.6069496;1.4493097;restaurant;;;2 Rue Dalayrac;31000;Toulouse;;;
31400;In Bocca Al Lupo;;;43.6097515;1.4466544;restaurant;italian;;2 Rue Matabiau;31000;Toulouse;;;
31401;Le Goût des Autres;;;43.6010897;1.4538961;restaurant;regional;; ;;;;;
31402;Crêperie Saint-Georges;;;43.6021229;1.4471802;restaurant;pancake;; ;;;;;
31403;La Compagnie Française;;;43.6079494;1.4458548;restaurant;italian;; ;;;;https://www.facebook.com/ciefrancaise;
31404;Aux Pieds Sous La Table;;;43.6096207;1.4392415;restaurant;french;; ;;;;www.aux-pieds-sous-la-table.com/;
31405;D'ici et D'Ailleurs;;;43.6100764;1.4392309;restaurant;;; ;;;;https://www.facebook.com/dicietdailleurstoulouse;
31406;L'Esquinade;;;43.6092771;1.4392123;restaurant;tapas;; ;;;33561121272;www.lesquinade.fr/toulouse-tapas-acces.html;
31407;L'Oriental;;;43.6106862;1.4395101;restaurant;moroccan;; ;;;;www.lorientalrestaurant.fr/;
31408;La Kasbah;;;43.6094022;1.439448;restaurant;couscous;; ;;;;www.lakasbah.fr/;
31409;Le Marrakech;;;43.6110779;1.4391669;restaurant;moroccan;; ;;;33561238252;www.restaurant-toulouse-marrakech.fr/;
31410;Le Shahrazade;;;43.6109149;1.4392905;restaurant;moroccan;; ;;;;;
31411;Yoko Sushi;;;43.610621;1.4346774;restaurant;japanese;; ;;;;;
31412;Chez les filles;;;43.5704284;1.4198655;restaurant;;; ;;;;;
31413;Pizz'Art;;;43.6224679;1.4586;restaurant;pizza;; ;;;;pizz-art.net/;
31414;Pachinee Thaï Street Food;;;43.6081079;1.4490726;restaurant;Asian;;23 Rue Denfert-Rochereau;31000;Toulouse;33781419779;https://www.facebook.com/Pachinee.Thai.Street.Food;
31415;LEE IN;;;43.584352;1.3763231;restaurant;Coréen;;4 Allée du Docteur Lejzer Ludwik Zamenhof;31100;Toulouse;;;
31416;La Sandia;;;43.6048318;1.4523941;restaurant;mexican;;8 Rue Palaprat;31000;Toulouse;33561631923;;
31417;Bistrot Le Grain de Sel;;;43.6180354;1.4368493;restaurant;;;;;;;;
31418;El nuevo barrio latino;;;43.5853001;1.4286537;restaurant;;;144 Avenue de Muret;31300;Toulouse;;;
31419;Le Bouteillon;;;43.5982394;1.4334897;restaurant;;;;;;;;
31420;Italian's Pizza;;;43.5845341;1.3765;restaurant;italian;; Allée du Docteur Ludwik Lejzer Zamenhof;;Toulouse;;;
31421;Le Lynga;;;43.5929289;1.4033871;restaurant;chinese;; Avenue de Lardenne;;Toulouse;;;
31422;Les 4 petits cochons;;;43.5922292;1.3975685;restaurant;;; Avenue de Lardenne;;Toulouse;;;
31423;Aux 3 Elephants;;;43.5904143;1.3807275;restaurant;Chinese;; Avenue de Lardenne;;Toulouse;;;
31424;La Pelouse Interdite;;;43.6306461;1.4325008;restaurant;;;;;;;;
31425;Restaurant de l'Ayguette;;;43.5865119;1.3946992;restaurant;;; Chemin de la Fronde;;Toulouse;;;
31426;Señor Taco;;;43.6062433;1.4508597;restaurant;mexican;;22 Rue des Sept Troubadours;31000;Toulouse;33534438113;www.senor-taco.fr;
31427;Les Trois Continents;;;43.6082397;1.4501578;restaurant;international;;24 Rue Héliot;31000;;;www.bar-restaurant-trois-continents.fr;
31428;PY-R;;;43.5995125;1.4410721;restaurant;Gastronomique;;19 Descente de la Halle Aux Poissons;31000;Toulouse;;www.py-r.com/;
31429;Motchiya;;;43.6049421;1.4523572;restaurant;japanese;;10 Rue Palaprat;31000;Toulouse;33954704739;motchiya.blogspot.fr/;
31430;Les Etoiles d'Asie;;;43.5670485;1.3926469;restaurant;Chinoise;; Avenue du Mirail;;Toulouse;;;
31431;Les Jardins de la Cépière;;;43.5920675;1.4046933;restaurant;;; Chemin des Courses;;Toulouse;;;
31432;Le Lusse;;;43.5910155;1.4024852;restaurant;;; Chemin des Courses;;Toulouse;;;
31433;L'Essentiel;;;43.6090853;1.3806676;restaurant;french;;;;;;;
31434;La Vallée du Mékong;;;43.6083294;1.3790654;restaurant;vietnam;;;;;;;
31435;Le Progrès;;;43.608455;1.379309;restaurant;french;;;;;33561492275;;
31436;;;;43.6081806;1.3824019;restaurant;;;;;;;;
31437;;;;43.6082012;1.3833892;restaurant;;;;;;;;
31438;Kimato Sushi;;;43.6077285;1.3957192;restaurant;japanese;;;;;;;
31439;Le Ksar;;;43.597137;1.4477916;restaurant;mediterranean;;;;;33561537220;;
31440;Crêperie Cornouailles;;;43.608867;1.4416748;restaurant;pancake;;;;;;cornouailles.free.fr/;
31441;La pizzathèque;;;43.596641;1.4223881;restaurant;pizza;;3 Avenue de Grande Bretagne;31300;Toulouse;534504000;www.lapizzatheque.fr;
31442;Flunch;;;43.6318559;1.4862685;restaurant;french;;;;;;;
31443;Café Laurent;;;43.6044557;1.4493364;restaurant;;;;;;;;
31444;Chez Elle;;;43.6034966;1.4492129;restaurant;;;;;;;;
31445;El Pescador;;;43.6047419;1.4489242;restaurant;;;;;;33562275999;;
31446;JEM;;;43.6030423;1.449127;restaurant;;;;;;;www.jem-goodfood.fr/;
31447;La Marée Gourmande;;;43.6035019;1.449436;restaurant;seafood;;;;;;;
31448;Rotisserie Margo;;;43.6034962;1.4490925;restaurant;;;;;;;;
31449;10;;;43.6046277;1.4488791;restaurant;;Poissons - Viandes;;;;33562275999;;
31450;La Pref;;;43.6002843;1.4495414;restaurant;;;;;;;;
31451;;;;43.6022768;1.4508762;restaurant;;;;;;;;
31452;Le Café du Soleil;;;43.6089771;1.4456;restaurant;;;;;;;www.le-cafe-du-soleil-toulouse.com/;
31453;Le Muang Thaï;;;43.5907374;1.4445352;restaurant;thai;;;;;;;
31454;La Milonga;;;43.61983;1.4361944;restaurant;argentin;;76 Avenue des Minimes;31200;Toulouse;;;
31455;Le Boulis;;;43.6248807;1.4430336;restaurant;;;142 Rue de Négreneys;31200;Toulouse;33561574212;;
31456;RU 1;;;43.5622178;1.463217;restaurant;;;;;;;;
31457;RU 2;;;43.5609651;1.4719697;restaurant;;;;;;;;
31458;RU3;;;43.5632388;1.4592427;restaurant;;;;;;;;
31459;Upsidum;;;43.5633415;1.4646406;restaurant;;;;;;;;
31460;INSA restaurant universitaire;;;43.570028;1.4688129;restaurant;;;;;;;;
31461;Le Cardito;;;43.578881;1.4831875;restaurant;italian;;;;;;;
31462;Casino-Théâtre Barrière;;;43.5720157;1.4341855;restaurant;;;18 Chemin de la Loge;31400;Toulouse;;;
31463;O Pas Sage;;;43.5794932;1.4813528;restaurant;international;;258 Avenue Saint-Exupéry;31400;;;www.opassage.fr;
31464;L'herbe tendre;;;43.5995371;1.442446;restaurant;;;;;;;;
31465;py-r;;;43.5986535;1.4426241;restaurant;;;;;;;;
31466;L'Évidence;;;43.5766976;1.4868321;restaurant;regional;;;;;;;
31467;Restaurant Universitaire de l'Arsenal;;;43.6056933;1.4360036;restaurant;;;;;;;;
31468;;;;43.5687225;1.4739117;restaurant;;;;;;;;
31469;Le Sous-Bock;;;43.5741759;1.4911428;restaurant;french;;;;;;;
31470;La Villa Des Oliviers;;;43.5843322;1.4917404;restaurant;italian;;;;;;;
31471;Brasserie de l'Ormeau;;;43.5789405;1.4843425;restaurant;french;;;;;;;
31472;Les p'tits fayots;;;43.6063454;1.4419112;restaurant;;;;;;;;
31473;;;;43.607759;1.4460697;restaurant;;;;;;;;
31474;El Rincón Chileno;;;43.5990019;1.4321641;restaurant;chilean;;;;;;;
31475;La table d'Émilie;;;43.5987805;1.4322225;restaurant;;;;;;;;
31476;Crêperie de l'Écluse;;;43.604426;1.434003;restaurant;;;;;;;;
31477;Le Chacha;;;43.5811119;1.4548818;restaurant;traditionnelle;;50 Avenue d'Italie;31400;TOULOUSE;33561538986;www.lechacha.fr;
31478;La préférence;;;43.6068867;1.4521246;restaurant;;;;;;;;
31479;Buffalo Grill;;;43.5695804;1.3901483;restaurant;;;;;;;;
31480;Alice Pizza;;;43.5579416;1.3682703;restaurant;pizza;;;;;;;
31481;Les Tonnelles;;;43.5625525;1.3718147;restaurant;;;;;;;;
31482;Le Valentino;;;43.5464094;1.3984942;restaurant;italian;;;;;;;
31483;Bâtiment T;;;43.5447516;1.3921126;restaurant;;;;;;;;
31484;Chez Ingalls;;;43.570921;1.4974031;restaurant;;;;;;;;
31485;La Villa Toscane;;;43.5685534;1.4988875;restaurant;italian;;;;;;;
31486;Didier Daurat;;;43.6081944;1.3633758;restaurant;;;;;;;;
31487;Le Bus;;;43.5783193;1.4686306;restaurant;maghreb;;;;;33561539514;;
31488;Pasta Pizza Toulouse Arènes;;;43.5891409;1.422039;restaurant;pizza;;;;;;;
31489;Okinawa;;;43.6107715;1.4195092;restaurant;japanese;;;;;;;
31490;Restaurant Universitaire;;;43.5670102;1.4726108;restaurant;;;;;;;;
31491;Au pois gourmand;;;43.6090993;1.4096381;restaurant;;;;;;;;
31492;Le Vauquelin;;;43.5838671;1.4015829;restaurant;;; Rue Nicolas-Louis Vauquelin;;Toulouse;;;
31;;;;;;;;;;;;;;
