id;raison_sociale;mobile;mail;latitude;longitude;type;categorie;adresse;code_postale;commune;telephone;internet;classement;marque;tourisme;;
132;L'Airial;;;44.74088;-1.0998914;Restaurant;BrasseriePizzeriaCuisine traditionnelleGrill;15 avenue du Général de Gaulle ;33510;ANDERNOS-LES-BAINS;+33 5 56 26 00 16;;;;;15 avenue du Général de Gaulle;
133;La Petite Table;;;44.74421;-1.106517;Restaurant;Cuisine traditionnelle;15 boulevard de la Plage ;33510;ANDERNOS-LES-BAINS;+33 5 56 82 46 88;www.lapetitetable.fr;;;;15 boulevard de la Plage;
134;A la P'tite Assiette;;;44.74015;-1.101036;Restaurant;Cuisine traditionnelle;Résidence du Vieux Marché 21 rue Pasteur;33510;ANDERNOS-LES-BAINS;+33 5 56 82 59 90;www.laptiteassiette-andernos.com;;;;Résidence du Vieux Marché;21 rue Pasteur
135;Les Tamaris;;;44.740013;-1.100744;Restaurant;Cuisine traditionnelle;2 place Louis David ;33510;ANDERNOS-LES-BAINS;+33 5 56 26 74 77;www.restaurant-tamaris.com;;Maître Restaurateur;;2 place Louis David;
136;Chez Dubarry;;;44.732224;-1.0915946;Restaurant;Cuisine traditionnelle;Promenade de la piscine ;33510;ANDERNOS-LES-BAINS;+33 5 56 82 32 24;;;;;Promenade de la piscine;
137;Chez Eliette;;;44.743443;-1.1101341;Restaurant;Cuisine traditionnelle;Port Ostréicole 19 avenue du Commandant Allègre;33510;ANDERNOS-LES-BAINS;+33 5 56 82 16 77;www.chez-eliette.com;;Maître Restaurateur;;Port Ostréicole;19 avenue du Commandant Allègre
138;La Parqueuse;;;44.744354;-1.1104774;Restaurant;Cuisine traditionnelle;Port Ostréicole 13 avenue du Commandant David Allègre;33510;ANDERNOS-LES-BAINS;+33 5 56 82 08 27;;;;;Port Ostréicole;13 avenue du Commandant David Allègre
139;L'Esquirey;;;44.743443;-1.1108207;Restaurant;Cuisine traditionnelle;port ostréicole 9 avenue du Commandant Allègre;33510;ANDERNOS-LES-BAINS;+33 5 56 82 22 15;;;;;port ostréicole;9 avenue du Commandant Allègre
140;Mon Désir;;;44.73038;-1.0823595;Restaurant;Cuisine traditionnelle;7 place de l'Etoile ;33510;ANDERNOS-LES-BAINS;+33 5 57 17 42 99;;;;;7 place de l'Etoile;
141;La Caouenne;;;44.74015;-1.1007828;Restaurant;Cuisine traditionnelleBrasserie;place Louis David ;33510;ANDERNOS-LES-BAINS;+33 5 56 26 04 92;;;;;place Louis David;
142;Le Cribus;;;44.746918;-1.1048769;Restaurant;Cuisine traditionnelleRestauration à  thème;288  boulevard de la République;33510;ANDERNOS-LES-BAINS;+33 5 56 82 04 23;www.restaurant-le-cribus.com;;;;288; boulevard de la République
143;O plaisirs !;;;44.764347;-1.0648155;Restaurant;Cuisine traditionnelleRestauration rapideBrasserie;Casino Le Miami route de Bordeaux;33510;ANDERNOS-LES-BAINS;+33 5 56 82 00 65;www.casinoandernos.com;;;;Casino Le Miami;route de Bordeaux
144;Pizza 45;;;44.741367;-1.0991477;Restaurant;PizzeriaCuisine traditionnelle;45  avenue du Général de Gaulle;33510;ANDERNOS-LES-BAINS;+33 5 56 82 17 49;www.pizzeria45.com;;;;45; avenue du Général de Gaulle
145;Chez Marie Paule;;;45.211834;-0.636968;Restaurant;Cuisine traditionnelle;3 route du Petit Guilhem ;33390;ANGLADE;+33 5 57 64 41 84;;;;;3 route du Petit Guilhem;
146;Le Passage;;;45.22286;-0.6542015;Restaurant;Cuisine traditionnelle;route des Marais 1 lieu-dit Romefort;33390;ANGLADE;+33 5 57 68 28 77;;;;;route des Marais;1 lieu-dit Romefort
147;Ville d'Hiver;;;44.65678;-1.1658036;Hôtel restaurant;Bistrot / bar à  vinBrasserie;20  avenue Victor Hugo;33120;ARCACHON;+33 5 56 66 10 36;www.hotelvilledhiver.com;;;;20; avenue Victor Hugo
148;Côté d'Arguin;;;44.65099;-1.191269;Hôtel restaurant;Cuisine traditionnelle;9  avenue du Parc;33120;ARCACHON;+33 5 57 72 06 72;;;;;9; avenue du Parc
149;Le Bordeaux;;;44.6597;-1.1656459;Hôtel restaurant;Cuisine traditionnelle;39 boulevard du Général Leclerc ;33120;ARCACHON;+33 5 56 83 80 30;;;;;39 boulevard du Général Leclerc;
150;L'Ostrei;;;44.657925;-1.1540094;Hôtel restaurant;Cuisine traditionnelle;22 avenue de la République ;33120;ARCACHON;+33 5 56 54 05 32;www.ostrei.fr;;;;22 avenue de la République;
151;Art Mot Nid 100 Thès;;;44.656155;-1.1761593;Restaurant;Bistrot / bar à  vin;3 place Fleming Ville d'Hiver;33120;ARCACHON;+33 5 57 52 27 43;;;;;3 place Fleming;Ville d'Hiver
152;Le Café de la Gare;;;44.659508;-1.164695;Restaurant;Bistrot / bar à  vin;35 boulevard du Général Leclerc ;33120;ARCACHON;+33 5 56 83 53 95;;;;;35 boulevard du Général Leclerc;
153;Le Chiquito;;;44.66147;-1.1568969;Restaurant;Bistrot / bar à  vin;124 boulevard de la Plage ;33120;ARCACHON;+33 5 56 83 16 29;;;;;124 boulevard de la Plage;
154;Le French Coffee Shop;;;44.66248;-1.1673498;Restaurant;Bistrot / bar à  vin;232 boulevard de la Plage ;33120;ARCACHON;+33 5 56 83 73 30;www.frenchcoffeeshop.com;;;;232 boulevard de la Plage;
155;Le Piment Noir;;;44.6615;-1.174314;Restaurant;Bistrot / bar à  vin;12  bis rue Mal de Lattre de Tassigny;33120;ARCACHON;+33 5 56 83 41 66;www.lepimentnoir.com;;;;12; bis rue Mal de Lattre de Tassigny
156;Le Troquet;;;44.662586;-1.1669615;Restaurant;Bistrot / bar à  vin;173 boulevard de la Plage ;33120;ARCACHON;+33 5 56 22 51 35;;;;;173 boulevard de la Plage;
157;Le Bistrot du Boulevard;;;44.66254;-1.1671766;Restaurant;Bistrot / bar à  vinBrasseriePizzeria;230  boulevard de la Plage;33120;ARCACHON;+33 5 56 83 45 67;;;;;230; boulevard de la Plage
158;Brasserie Le Commerce;;;44.66194;-1.1686074;Restaurant;Brasserie;9  avenue Gambetta;33120;ARCACHON;+33 5 56 83 05 17;;;;;9; avenue Gambetta
159;Brasserie Le Mauresque;;;44.660526;-1.17267;Restaurant;Brasserie;35 avenue de Lattre de Tassigny ;33120;ARCACHON;+33 5 56 83 39 09;;;;;35 avenue de Lattre de Tassigny;
160;Le Corossol;;;44.65193;-1.1865109;Restaurant;Brasserie;105 boulevard de la Côte d'Argent ;33120;ARCACHON;+33 5 56 66 76 93;;;;;105 boulevard de la Côte d'Argent;
161;Le Repetto;;;44.66247;-1.1685619;Restaurant;Brasserie;2  avenue Gambetta;33120;ARCACHON;+33 5 56 83 31 45;;;;;2; avenue Gambetta
162;L'Ilot;;;44.662;-1.1684207;Restaurant;Brasserie;8  avenue Gambetta;33120;ARCACHON;+33 5 56 83 48 89;;;;;8; avenue Gambetta
163;Zen It Beach;;;44.65974;-1.1915016;Restaurant;Brasserie;plage Pereire ;33120;ARCACHON;+33 6 25 32 06 59;;;;;plage Pereire;
164;L'Estival;;;44.656437;-1.1471665;Restaurant;Brasserie;place de l'Aiguillon ;33120;ARCACHON;+33 5 56 83 15 18;;;;;place de l'Aiguillon;
165;Brasserie Cap Péreire;;;44.65768;-1.1936101;Restaurant;Brasserie;1  avenue du Parc Pereire;33120;ARCACHON;+33 5 56 83 24 01;www.restaurantcappereire.com;;;;1; avenue du Parc Pereire
166;Bacchus du Moulleau;;;44.641483;-1.2017511;Restaurant;Brasserie;4  avenue Notre Dame des Passes;33120;ARCACHON;+33 5 56 54 50 35;;;;;4; avenue Notre Dame des Passes
167;Le Café de la Plage;;;44.66328;-1.166554;Restaurant;BrasserieBistrot / bar à  vin;1 boulevard Veyrier Montagnères ;33120;ARCACHON;+33 5 56 22 52 94;www.cafedelaplage.com;;;;1 boulevard Veyrier Montagnères;
168;Brasserie les Marquises;;;44.661716;-1.1699903;Restaurant;BrasserieBistrot / bar à  vinCafétériaCuisine traditionnelle;rue Roger Expert Place Nouvelle 1;33120;ARCACHON;+33 5 56 83 80 06;;;;;rue Roger Expert;Place Nouvelle 1
169;La Paillotte;;;44.663116;-1.1697993;Restaurant;BrasserieCrèperieCafétériaCuisine traditionnelle;12 boulevard Marcel Gounouilhou ;33120;ARCACHON;+33 5 56 22 88 76;;;;;12 boulevard Marcel Gounouilhou;
170;Le Square Café;;;44.661945;-1.1724748;Restaurant;BrasserieCuisine traditionnelle;7  rue de Lattre de Tassigny;33120;ARCACHON;+33 5 56 83 19 25;;;;;7; rue de Lattre de Tassigny
171;Alice Mediastore Arcachon;;;44.661716;-1.1699903;Restaurant;BrasserieCuisine traditionnelle;Place Nouvelle Ville d'été;33120;ARCACHON;+33 5 57 72 04 25;www.alicemediastore.fr;;;;Place Nouvelle;Ville d'été
172;Au Bureau;;;44.66086;-1.1685654;Restaurant;BrasserieCuisine traditionnellePizzeria;25  avenue Gambetta;33120;ARCACHON;+33 5 56 83 22 21;www.au-bureau.fr;;;;25; avenue Gambetta
173;La Napolitaine;;;44.66102;-1.172463;Restaurant;BrasseriePizzeria;28  rue du Mal de Lattre de Tassigny;33120;ARCACHON;+33 5 57 52 20 50;;;;;28; rue du Mal de Lattre de Tassigny
174;La Cabane o Crèpes;;;44.656857;-1.1479796;Restaurant;Crèperie;4 boulevard de la Plage ;33120;ARCACHON;+33 5 57 52 04 43;;;;;4 boulevard de la Plage;
175;Crèperie Bretonne La Minotière;;;44.661003;-1.172572;Restaurant;Crèperie;28 rue Maréchal de Lattre de Tassigny ;33120;ARCACHON;+33 5 57 52 20 50;;;;;28 rue Maréchal de Lattre de Tassigny;
176;Crèperie d'Arcachon;;;44.66252;-1.1711957;Restaurant;Crèperie;211  boulevard de la Plage;33120;ARCACHON;+33 5 56 83 72 12;;;;;211; boulevard de la Plage
177;La Crèperie du Moulleau;;;44.641575;-1.2027021;Restaurant;Crèperie;3  avenue Notre Dame des Passes;33120;ARCACHON;+33 5 57 52 23 88;;;;;3; avenue Notre Dame des Passes
178;La Saison 2;;;44.661396;-1.172399;Restaurant;Crèperie;21 rue du Mal de Lattre de Tassigny ;33120;ARCACHON;+33 5 56 83 24 05;;;;;21 rue du Mal de Lattre de Tassigny;
179;Le Salon;;;44.660755;-1.1682927;Restaurant;Crèperie;26 avenue Gambetta ;33120;ARCACHON;+33 5 57 52 34 85;;;;;26 avenue Gambetta;
180;Aux Mille Saveurs;;;44.658962;-1.16362;Restaurant;Cuisine traditionnelle;25  boulevard du Général Leclerc;33120;ARCACHON;+33 5 56 83 40 28;www.auxmillesaveurs.fr;;Tables et Auberges de France;;25; boulevard du Général Leclerc
181;Vilaroma;;;44.663643;-1.1637658;Restaurant;Cuisine traditionnelle;17  rue du Professeur Jolyet;33120;ARCACHON;+33 5 56 83 54 54;;;;;17; rue du Professeur Jolyet
182;La Caravelle;;;44.66271;-1.1639844;Restaurant;Cuisine traditionnelle;Casino d'Arcachon 163 boulevard de la Plage;33120;ARCACHON;+33 5 56 83 41 44;www.casino-bassindarcachon.com;;;;Casino d'Arcachon;163 boulevard de la Plage
183;Le Grill;;;44.661385;-1.170215;Restaurant;Cuisine traditionnelle;3 place Franklin Roosevelt ;33120;ARCACHON;+33 5 56 83 01 20;;;;;3 place Franklin Roosevelt;
184;Le Pet du Diable;;;44.652115;-1.1474496;Restaurant;Cuisine traditionnelle;6  boulevard Mestrezat;33120;ARCACHON;+33 5 57 52 08 59;;;;;6; boulevard Mestrezat
185;Le Pote Agé;;;44.662567;-1.1745385;Restaurant;Cuisine traditionnelle;348  boulevard de la Plage;33120;ARCACHON;+33 5 56 83 64 62;;;;;348; boulevard de la Plage
186;Les Tamaris;;;44.663197;-1.1705735;Restaurant;Cuisine traditionnelle;20  Boulevard Gounouilhou;33120;ARCACHON;+33 6 28 42 61 46;tamarisarcachon.blogspot.com;;;;20; Boulevard Gounouilhou
187;L'Hacienda Café;;;44.660313;-1.1544714;Restaurant;Cuisine traditionnelle;86  boulevard de la Plage;33120;ARCACHON;+33 5 56 83 58 97;www.bassin-restaurant.com;;;;86; boulevard de la Plage
188;Restaurant du Golf 19;;;44.636604;-1.1711647;Restaurant;Cuisine traditionnelle;35 boulevard d'Arcachon ;33120;ARCACHON;+33 5 57 52 68 00;www.restaurantdugolf19.fr;;;;35 boulevard d'Arcachon;
189;La Cabane du Tchanquet;;;44.66271;-1.1638173;Restaurant;Cuisine traditionnelle;8  rue du Professeur Jolyet;33120;ARCACHON;+33 5 56 83 97 70;;;;;8; rue du Professeur Jolyet
190;Le Nioulargue Café;;;44.66324;-1.167061;Restaurant;Cuisine traditionnelle;20  boulevard Veyrier Montagnères;33120;ARCACHON;+33 5 56 83 49 43;www.nioulargue-cafe.fr;;;;20; boulevard Veyrier Montagnères
191;Le Santa Maria;;;44.66044;-1.1449704;Restaurant;Cuisine traditionnelle;quai Goslar Centre Nautique Pierre Mallet;33120;ARCACHON;+33 5 56 83 11 05;;;;;quai Goslar;Centre Nautique Pierre Mallet
192;Côté Courts;;;44.65136;-1.1887764;Restaurant;Cuisine traditionnelle;7 avenue du Parc Tennis Club d'Arcachon;33120;ARCACHON;+33 5 56 15 38 78;;;;;7 avenue du Parc;Tennis Club d'Arcachon
193;La Calypso;;;44.660236;-1.154003;Restaurant;Cuisine traditionnelle;84  boulevard de la Plage;33120;ARCACHON;+33 5 56 83 65 08;www.restaurant-la-calypso.com;;;;84; boulevard de la Plage
194;Le Bikini;;;44.64531;-1.1992679;Restaurant;Cuisine traditionnelle;18 allée des Arbousiers ;33120;ARCACHON;+33 5 56 83 91 36;;;;;18 allée des Arbousiers;
195;Cap'tain Aldo;;;44.663277;-1.167414;Restaurant;Cuisine traditionnelle;22  boulevard Veyrier Montagnères;33120;ARCACHON;+33 5 56 83 78 81;www.captainaldo.com;;;;22; boulevard Veyrier Montagnères
196;Chez Yvette;;;44.660187;-1.1677091;Restaurant;Cuisine traditionnelle;59  boulevard du Général Leclerc;33120;ARCACHON;33556830511;;;;;59; boulevard du Général Leclerc
197;La Loubine;;;44.660072;-1.1539606;Restaurant;Cuisine traditionnelle;80  boulevard de la Plage;33120;ARCACHON;+33 5 56 83 12 15;www.laloubine-arcachon.com;;;;80; boulevard de la Plage
198;Le Noroît;;;44.660393;-1.1546474;Restaurant;Cuisine traditionnelle;88  boulevard de la Plage;33120;ARCACHON;+33 5 56 83 82 41;;;;;88; boulevard de la Plage
199;Le Pavillon d'Arguin;;;44.66029;-1.1678565;Restaurant;Cuisine traditionnelle;63  boulevard du Général Leclerc;33120;ARCACHON;+33 5 56 83 46 96;www.lepavillondarguin.com;;;;63; boulevard du Général Leclerc
200;L'Ecailler Chez Diego;;;44.663692;-1.1638841;Restaurant;Cuisine traditionnelle;2  boulevard Veyrier Montagnères;33120;ARCACHON;+33 5 56 83 84 46;www.diegoplage.com;;;;2; boulevard Veyrier Montagnères
201;L'Espadon;;;44.660885;-1.1726001;Restaurant;Cuisine traditionnelle;29  rue de Lattre de Tassigny;33120;ARCACHON;+33 5 56 83 08 44;;;;;29; rue de Lattre de Tassigny
202;La Bouée;;;44.65466;-1.146474;Restaurant;Cuisine traditionnelle;30  boulevard Mestrezat;33120;ARCACHON;+33 5 56 54 89 29;;;;;30; boulevard Mestrezat
203;Au Blé Noir;;;45.040035;-0.1304266;Restaurant;Crèperie;261 rue Pierre Brossolette ;33230;COUTRAS;+33 5 57 69 65 13;;;;;261 rue Pierre Brossolette;
204;La Fourchette d'Elise;;;45.043568;-0.1294582;Restaurant;Cuisine traditionnelle;62  rue Gambetta;33230;COUTRAS;+33 5 57 49 32 45;;;;;62; rue Gambetta
205;La Table du buffet;;;45.016983;-0.0715409;Restaurant;Cuisine traditionnelle;place du 8 mai 1945 ;33230;COUTRAS;+33 5 57 40 71 15;;;;;place du 8 mai 1945;
206;Le Relais de l'Isle;;;45.02645;-0.055334;Restaurant;Cuisine traditionnelle;29  Troquereau;33230;COUTRAS;+33 5 57 69 68 46;;;;;29; Troquereau
207;Le Bistrot du marché;;;45.049553;-0.1218367;Restaurant;Cuisine traditionnelleBrasserie;5  rue des Bouquets;33230;COUTRAS;+33 5 57 69 41 39;;;;;5; rue des Bouquets
208;Restaurant du Château Camiac;;;44.794807;-0.385087;Hôtel restaurant;Cuisine traditionnelle;route de la Forèt RD 121;33670;CREON;+33 5 56 23 20 85;www.chateaucamiac.com;;;;route de la Forèt;RD 121
209;Brasserie Pub Saint Léon;;;44.772686;-0.3475953;Restaurant;BrasserieCuisine traditionnelle;48 boulevard de Verdun ;33670;CREON;+33 6 09 79 60 32;www.brasseriesaintleon.com;;;;48 boulevard de Verdun;
210;Le Chaudron;;;44.7738;-0.3472976;Restaurant;BrasserieCuisine traditionnelle;38  rue Amaury de Craon;33670;CREON;+33 5 56 06 73 55;;;;;38; rue Amaury de Craon
211;L'Entre Deux;;;44.771812;-0.3361558;Restaurant;BrasserieCuisine traditionnelle;route de La Sauve rond point de l'Entre-deux-Mers;33670;CREON;+33 5 56 23 38 30;;;;;route de La Sauve;rond point de l'Entre-deux-Mers
212;Le Cosy;;;44.77219;-0.3430565;Restaurant;BrasserieCuisine traditionnellePizzeria;19 bis avenue de l'Entre-deux-Mers ;33670;CREON;+33 5 56 52 24 47;;;;;19 bis avenue de l'Entre-deux-Mers;
213;Crèperie Suc' Sel;;;44.77488;-0.347745;Restaurant;Crèperie;36  place de la Prévôté;33670;CREON;+33 5 56 23 22 81;www.suc-sel.com;;;;36; place de la Prévôté
214;Mano & Co;;;44.77518;-0.3473299;Restaurant;Cuisine traditionnelle;28 rue Jean Baspeyras ;33670;CREON;+33 9 54 18 63 57;;;;;28 rue Jean Baspeyras;
215;La Table;;;44.774914;-0.348092;Restaurant;Cuisine traditionnelleBistrot / bar à  vin;22  place de la Prévôté;33670;CREON;+33 5 56 42 98 40;;;;;22; place de la Prévôté
216;Aux Repas Fermiers Houn Barrade;;;44.408295;-0.203976;Ferme auberge;Cuisine traditionnelle; ;33430;CUDOS;+33 5 56 25 44 55;www.bienvenue-a-la-ferme.com/gironde/ferme-aux-repas-fermiers-houn-barrade-63748/contact_plan_acces;;Bienvenue à  la Ferme;;;
217;L'S-caudais;;;44.310368;-0.2018308;Restaurant;BrasserieCuisine traditionnelle;3 Bourg Ouest ;33840;ESCAUDES;+33 5 56 25 22 34;www.restaurant-escaudes.fr;;;;3 Bourg Ouest;
218;Restaurant de la gare d'Espiet;;;44.78703;-0.2677752;Restaurant;Cuisine traditionnelle;Sérigeau ;33420;ESPIET;+33 5 57 24 12 48;;;;;Sérigeau;
219;Hôtel de l'Estuaire;;;45.233437;-0.5711174;Hôtel restaurant;Cuisine traditionnelle;61  rue Principale;33820;ETAULIERS;+33 5 57 64 70 36;;;;;61; rue Principale
220;Les Platanes;;;45.222176;-0.5724911;Hôtel restaurant;Cuisine traditionnelle;4  route de Saint-Savin;33820;ETAULIERS;+33 5 57 64 70 42;www.logis-gironde.fr/detail_gite.php?gite=HOTAQU03301V3EXEÂ ;2 cheminées2 cocottes;;;4; route de Saint-Savin
221;Le New Booster - Chez Bill et Véro;;;45.187904;-0.6023597;Restaurant;Cuisine traditionnelle;Le Pontet Sud Est RD 137;33390;EYRANS;+33 5 57 64 55 80;;;;;Le Pontet Sud Est;RD 137
222;Cercle de l'Union;;;44.53712;-0.2980199;Restaurant;Cuisine traditionnelle;2  Route du Stade;33210;FARGUES;+33 5 56 76 28 94;;;;;2; Route du Stade
223;Le Jep's;;;44.824238;-0.4469819;Restaurant;Brasserie;53 avenue de l'Entre-deux-Mers ;33370;FARGUES-SAINT-HILAIRE;+33 5 56 21 21 24;http://jeps-restaurant.com;;;;53 avenue de l'Entre-deux-Mers;
224;La Casa Italienne;;;44.823742;-0.4454981;Restaurant;Cuisine traditionnelle;68 avenue de l'Entre-deux-Mers ;33360;FARGUES-SAINT-HILAIRE;+33 5 56 78 49 01;www.casaitalienne.com;;;;68 avenue de l'Entre-deux-Mers;
225;Cèpe & Sarment;;;44.806053;0.0157539;Restaurant;Bistrot / bar à  vinCuisine traditionnelleBrasserie;le Bourg ;33350;FLAUJAGUES;+33 5 57 40 29 94;;;;;le Bourg;
226;La Ferme de Serres;;;44.439945;-0.1188164;Restaurant;Cuisine traditionnelle;1  Serres;33430;GAJAC;+33 5 56 25 19 32;http://lafermedeserres.blogspot.com;;Assiette de Pays;;1; Serres
227;La Saye;;;44.995777;-0.2749586;Restaurant;Cuisine traditionnelle;1 impasse du Plantis ;33133;GALGON;+33 5 57 74 32 35;;;;;1 impasse du Plantis;
228;La Filadière;;;45.06273;-0.6235599;Restaurant;Cuisine traditionnelle;11  Corniche de la Gironde;33710;GAURIAC;+33 5 57 64 94 05;www.lafiladiere.com;;;;11; Corniche de la Gironde
229;Le Bistrot de Gauriac;;;45.06813;-0.61331;Restaurant;Restauration rapide;48t Franciscot Nord ;33710;GAURIAC;+33 9 81 45 93 25;;;;;48t Franciscot Nord;
230;L'Ange Bleu;;;45.042202;-0.395203;Restaurant;Cuisine traditionnelle; ;33240;GAURIAGUET;+33 5 57 68 07 07;www.angebleu.fr;;;;;
231;Les Remparts;;;44.959698;-0.383012;Hôtel restaurant;Cuisine traditionnelle;16  rue du Château;33890;GENSAC;+33 5 57 47 43 46;www.lesremparts.net;2 cheminéesTable distinguée;;;16; rue du Château
232;L'Orée Mance;;;44.8048;0.071616;Restaurant;Cuisine traditionnelle;4  rue Carreyron;33890;GENSAC;+33 5 57 47 11 35;www.loree-mance.com;;;;4; rue Carreyron
233;L'Art de Vivre;;;44.5855;-0.0838994;Restaurant;PizzeriaCuisine traditionnelle;96 rue du Général de Gaulle ;33190;GIRONDE-SUR-DROPT;+33 5 56 71 12 88;;;;;96 rue du Général de Gaulle;
234;Chez Marian;;;45.002216;0.0061459;Restaurant;Cuisine traditionnelle;28  Cousseau;33660;GOURS;+33 5 57 41 03 58;;;;;28; Cousseau
235;Au Comté d'Ornon;;;44.769302;-0.615679;Hôtel restaurant;Cuisine traditionnelle;allée de Mégevie ;33170;GRADIGNAN;+33 5 56 75 26 85;www.aucomtedornon.com;2 cheminées2 cocottes;Qualité Tourisme;;allée de Mégevie;
236;Le Relax café;;;45.43836;-1.095983;Restaurant;BrasserieCuisine traditionnelle;rue des Bernaches ;33590;GRAYAN-ET-L'HOPITAL;+33 5 56 09 43 28;;;;;rue des Bernaches;
237;La soupe à  l'oignon;;;45.415646;-1.100008;Restaurant;Cuisine traditionnelle;29 chemin de Dépée ;33590;GRAYAN-ET-L'HOPITAL;+33 5 56 09 52 46;;;;;29 chemin de Dépée;
238;Le Méduli;;;45.436897;-1.142472;Restaurant;Cuisine traditionnelle;Le Gurp ;33590;GRAYAN-ET-L'HOPITAL;+33 5 56 09 15 60;;;;;Le Gurp;
239;Les Contes de la Mer;;;45.436897;-1.142472;Restaurant;Cuisine traditionnellePizzeria;Le Gurp ;33590;GRAYAN-ET-L'HOPITAL;+33 5 56 09 54 02;;;;;Le Gurp;
240;Voyages et Gourmandises;;;45.040474;-0.1863824;Restaurant;Crèperie;23 Grand Rue ;33230;GUITRES;+33 5 57 47 92 46;;;;;23 Grand Rue;
241;La Guérinière;;;44.636135;-1.0741978;Hôtel restaurant;Cuisine traditionnelle;18 cours de Verdun ;33470;GUJAN-MESTRAS;+33 5 56 66 08 78;www.lagueriniere.com;;Tables et Auberges de France;;18 cours de Verdun;
242;La Marine;;;44.641148;-1.0721433;Restaurant;BrasserieCuisine traditionnelle;91  port de Larros;33470;GUJAN-MESTRAS;+33 5 56 66 40 00;;;;;91; port de Larros
243;Cafétéria Crescendo;;;44.617355;-1.0753834;Restaurant;Cafétéria;Centre Commercial Grand Large ;33470;GUJAN-MESTRAS;+33 5 56 66 97 70;www.crescendo-restauration.fr;;;;Centre Commercial Grand Large;
244;Le Tégalet;;;44.638874;-1.0599768;Restaurant;Crèperie;place de la Claire ;33470;GUJAN-MESTRAS;+33 5 56 54 05 77;;;;;place de la Claire;
245;La Crèperie du Bassin;;;44.628742;-1.1108422;Restaurant;Crèperie;84 route des Lacs ;33470;GUJAN-MESTRAS;+33 5 57 15 86 68;;;;;84 route des Lacs;
246;La Vache sur le Toit;;;44.638134;-1.1126232;Restaurant;Cuisine traditionnelle;2 route des Lacs ;33470;GUJAN-MESTRAS;+33 5 57 52 42 51;;;;;2 route des Lacs;
247;Le Bistrot Gourmand;;;44.636806;-1.0708075;Restaurant;Cuisine traditionnelle;4 avenue du Maréchal Leclerc ;33470;GUJAN-MESTRAS;+33 5 57 52 45 33;;;;;4 avenue du Maréchal Leclerc;
248;Le Lodge;;;44.61685;-1.0944914;Restaurant;Cuisine traditionnelle;La Lande chemin du Loup;33470;GUJAN-MESTRAS;+33 5 57 73 00 78;www.casino-gujanmestras.fr;;;;La Lande;chemin du Loup
249;Le Rococo;;;44.640114;-1.0687449;Restaurant;Cuisine traditionnelle;24 avenue de la Gare ;33470;GUJAN-MESTRAS;+33 5 57 52 40 71;;;;;24 avenue de la Gare;
250;Le Tie Break;;;44.62512;-1.1079239;Restaurant;Cuisine traditionnelle;Tennis club de Gujan-Mestras 121 route des Lacs;33470;GUJAN-MESTRAS;+33 5 57 15 78 20;www.tennis-gujanmestras.fr;;;;Tennis club de Gujan-Mestras;121 route des Lacs
251;L'Endroit;;;44.636154;-1.0942554;Restaurant;Cuisine traditionnelle;184 avenue de Lattre de Tassigny ;33470;GUJAN-MESTRAS;+33 5 56 83 27 41;;;;;184 avenue de Lattre de Tassigny;
252;Restaurant du Golf de Gujan;;;44.6037;-1.0902214;Restaurant;Cuisine traditionnelle;route de Sanguinet ;33470;GUJAN-MESTRAS;+33 5 57 52 73 76;www.bluegreen.com;;;;route de Sanguinet;
253;Restaurant Le Khélus;;;44.619617;-1.1123657;Restaurant;Cuisine traditionnelle;Village Khélus La Hume;33470;GUJAN-MESTRAS;+33 5 56 83 92 59;www.location-salle-arcachon.comhttp://myspace.com/lekhelus;;;;Village Khélus;La Hume
254;Chez Patoune - Restaurant du Canal;;;44.641857;-1.0655682;Restaurant;Cuisine traditionnelle;3 rue des Frères Larroque ;33470;GUJAN-MESTRAS;+33 5 56 83 69 97;;;;;3 rue des Frères Larroque;
255;La Marinière;;;44.64334;-1.1141628;Restaurant;Cuisine traditionnelle;50 avenue de la Plage ;33470;GUJAN-MESTRAS;+33 5 40 70 27 48;;;;;50 avenue de la Plage;
256;Les Pavois;;;44.641502;-1.0727548;Restaurant;Cuisine traditionnelle;113 Port de Larros ;33470;GUJAN-MESTRAS;+33 5 56 66 38 71;www.restaurant-lespavois.com;;;;113 Port de Larros;
257;Lou Totem;;;44.5787;-1.102066;Restaurant;Cuisine traditionnelle;243 route des Grands Lacs ;33470;GUJAN-MESTRAS;+33 5 56 54 66 72;;;;;243 route des Grands Lacs;
258;La Humoise;;;44.63832;-1.1116361;Restaurant;Cuisine traditionnelle;place du Marché ;33470;GUJAN-MESTRAS;+33 5 56 66 59 65;;;;;place du Marché;
259;L'Escalumade;;;44.63991;-1.0729694;Restaurant;Cuisine traditionnelle;8 boulevard Pierre Dignac ;33470;GUJAN-MESTRAS;+33 5 56 66 02 30;;;;;8 boulevard Pierre Dignac;
260;Les Viviers;;;44.64081;-1.0721272;Restaurant;Cuisine traditionnelle;Port de Larros ;33470;GUJAN-MESTRAS;+33 5 56 66 01 04;www.restaurant-lesviviers.com;;;;Port de Larros;
261;Les Jardins d'Italie;;;44.613506;-1.0960578;Restaurant;Pizzeria;153  route des Grands Lacs;33470;GUJAN-MESTRAS;+33 5 56 66 35 78;;;;;153; route des Grands Lacs
262;Restaurant Chez Gigi;;;44.639023;-1.0619562;Restaurant;Pizzeria;88 cours de le République ;33470;GUJAN-MESTRAS;+33 5 56 22 20 66;;;;;88 cours de le République;
